case_id,verdict,reason,raw_response,parse_status,persona,modality,runtime_seconds
TC01,FAIL,"The description only states that an equivalent delete affordance exists on each row; it does not establish that the affordance label is human-readable nor that the touch target meets minimum size. Two of three required properties are unverified, so PASS cannot be granted.","{""verdict"":""FAIL"",""reason"":""The description only states that an equivalent delete affordance exists on each row; it does not establish that the affordance label is human-readable nor that the touch target meets minimum size. Two of three required properties are unverified, so PASS cannot be granted.""}",OK,strict senior QA engineer,text-only (expected+properties),12.74
TC02,PASS,"Rendered behavior states typography renders without breaking layout, which satisfies text-within-container, no content-hiding wrap changes, and preserved layout integrity.","{""verdict"":""PASS"",""reason"":""Rendered behavior states typography renders without breaking layout, which satisfies text-within-container, no content-hiding wrap changes, and preserved layout integrity.""}",OK,strict senior QA engineer,text-only (expected+properties),5.62
TC03,PASS,"Expanded letter-spacing stays within container bounds; no overflow, single-line labels preserved, layout integrity intact.","{""verdict"":""PASS"",""reason"":""Expanded letter-spacing stays within container bounds; no overflow, single-line labels preserved, layout integrity intact.""}",OK,strict senior QA engineer,text-only (expected+properties),6.02
TC04,PASS,Interactive checkbox per row toggles completion and conveys checked/unchecked state.,"{""verdict"":""PASS"",""reason"":""Interactive checkbox per row toggles completion and conveys checked/unchecked state.""}",OK,strict senior QA engineer,text-only (expected+properties),5.57
TC05,PASS,"Rendered behavior states delete buttons meet the 24x24 px minimum, satisfying width >=24px, height >=24px, and WCAG 2.5.5 minimum touch target.","{""verdict"":""PASS"",""reason"":""Rendered behavior states delete buttons meet the 24x24 px minimum, satisfying width >=24px, height >=24px, and WCAG 2.5.5 minimum touch target.""}",OK,strict senior QA engineer,text-only (expected+properties),6.02
TC06,PASS,"Rendered behavior states container padding is consistent and touch targets remain reachable, satisfying control containment, touch-target reachability, and layout integrity.","{""verdict"":""PASS"",""reason"":""Rendered behavior states container padding is consistent and touch targets remain reachable, satisfying control containment, touch-target reachability, and layout integrity.""}",OK,strict senior QA engineer,text-only (expected+properties),5.76
TC07,PASS,"Subtle shadow keeps buttons identifiable, does not obscure content, and preserves layout integrity.","{""verdict"":""PASS"",""reason"":""Subtle shadow keeps buttons identifiable, does not obscure content, and preserves layout integrity.""}",OK,strict senior QA engineer,text-only (expected+properties),3.61
TC08,PASS,"Rendered behavior states the Add todo CTA is visible and tappable in the header, satisfying visibility, absence of an opaque overlay blocking the form, and unobstructed tap interaction.","{""verdict"":""PASS"",""reason"":""Rendered behavior states the Add todo CTA is visible and tappable in the header, satisfying visibility, absence of an opaque overlay blocking the form, and unobstructed tap interaction.""}",OK,strict senior QA engineer,text-only (expected+properties),3.47
TC09,PASS,"Rendered behavior states the Add button is visible (renders, remains identifiable), is in a primary-blue palette color, and shows no indication of layout disruption — all three properties hold.","{""verdict"":""PASS"",""reason"":""Rendered behavior states the Add button is visible (renders, remains identifiable), is in a primary-blue palette color, and shows no indication of layout disruption — all three properties hold.""}",OK,strict senior QA engineer,text-only (expected+properties),6.21
TC10,PASS,"Rendered behavior states a visible focus indicator appears on keyboard-focused interactive elements, which satisfies visible focus indicator, observable keyboard navigation, and preserved accessibility focus visibility.","{""verdict"":""PASS"",""reason"":""Rendered behavior states a visible focus indicator appears on keyboard-focused interactive elements, which satisfies visible focus indicator, observable keyboard navigation, and preserved accessibility focus visibility.""}",OK,strict senior QA engineer,text-only (expected+properties),5.41
